,LearningRate,H_Conc_Lin_A,H_Conc_Lin_E,H_Sub_Lin_A,H_Sub_Lin_E,H_Conc_Log_A,H_Conc_Log_E,H_Sub_log_A,H_Sub_log_E,H_Sub_Log_A,H_Sub_Log_E
0,0.001,49.681528662420384,0.5103120326295961,45.85987261146497,0.5171942731461614,87.26114649681529,0.08395688736718188,,,76.43312101910828,0.09160424901365906
1,0.002,49.681528662420384,0.5107914067904368,45.85987261146497,0.5171399224220131,87.26114649681529,0.07883633576255963,,,77.07006369426752,0.08990824543451853
2,0.004,49.681528662420384,0.5100287825911272,45.85987261146497,0.5167392095595034,87.89808917197452,0.07385038236153779,,,77.07006369426752,0.08777555504512874
3,0.006,49.681528662420384,0.5084887311136678,45.85987261146497,0.5174485749695759,87.89808917197452,0.07152252728356573,,,76.43312101910828,0.08657127440283295
4,0.008,49.681528662420384,0.5071285810812981,45.85987261146497,0.5186238865209577,89.171974522293,0.07019341716500996,,,59.87261146496815,0.09307565717148772
5,0.01,49.681528662420384,0.5061001518808826,45.85987261146497,0.5198191822726986,92.35668789808918,0.06901753512288553,,,55.4140127388535,0.1122210220218967
6,0.05,49.681528662420384,0.501475196167281,45.85987261146497,0.5288832448965071,49.681528662420384,0.14501797460627502,,,54.14012738853503,0.1995679263089067
7,0.1,50.318471337579616,0.5136060991807009,45.85987261146497,0.5885995226425914,49.681528662420384,0.14335386068412181,,,54.14012738853503,0.20097538708501694
8,0.5,0.0,nan,0.0,nan,50.318471337579616,1.2168117804565404,,,54.14012738853503,0.21245474622638205
9,1.0,0.0,nan,0.0,nan,49.681528662420384,nan,,,54.14012738853503,0.41081494036482497
